03/12/21 10:43:48: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 128, at column 0
03/12/21 10:45:48: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:47:49: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:48:54: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:49:54: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:51:55: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:53:55: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:54:56: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:55:56: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:56:16: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:56:16: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:57:18: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:58:43: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 10:59:43: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:01:43: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:02:43: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:02:53: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:02:54: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:02:58: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:02:59: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:03:01: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:03:02: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:03:22: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:03:23: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:03:26: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:03:26: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:03:48: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:03:50: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:04:28: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 130, at column 0
03/12/21 11:06:28: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/9-editor-only/_editor-specific.scss on line 33, at column 0
03/12/21 11:58:00: editor.scss - parse error: failed at `margin-left: calc( 100% - var(--max-width-container)) / 2);` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 43, at column 13
03/12/21 11:58:00: style.scss - parse error: failed at `margin-left: calc( 100% - var(--max-width-container)) / 2);` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 43, at column 13
03/12/21 11:58:09: editor.scss - parse error: failed at `margin-left: calc( 100vw - var(--max-width-container)) / 2);` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/2-mixins-functions/_mixins.scss on line 43, at column 13
